title,type,tenure,price,square_feet,price_per_square_feet,bedroom,bathroom,furnishing,launched_in,address,developer,description,project_link,image_link
Ferrous 2,2-storey Terraced House,Freehold,1493105.94,2097,712.02,4,4,Unfurnished,2023,"Setia AlamImpian, Shah Alam, Selangor",I&P Alam Impian Sdn Bhd,"FERROUS 2 is surrounded by captivating industrial-themed landscapes that blend seamlessly with the environment, creating a unique and inspiring atmosphere. Designed with a keen eye for modern aesthetics, FERROUS 2 boasts sleek architectural lines that redefine contemporary living. The exteriors are a testament to innovation, while the interiors are thoughtfully crafted to maximize space and functionality.These 2-storey terrace homes are the maiden launch of the Industrial Arts Precinct and were planned to offer some exciting features:- Open layout concept - High ceilings for better ventilation - Tall windows for natural lighting - Setia iHome features that are inline with ESG efforts1.Green Switch–Environment friendly and energy saving2.Box 366–Mailbox cum parcel delivery compartmentOther features include:- Industrial Arts-themed landscapes- Modern and contemporary architecture- Quick access to latest retail hotspot–LakePoint Central- Short distance to upgraded park with scenic lake–LakePoint Park- Exclusive privilege to lifestyle facilities-LakePoint Club- Nearby amenities and conveniences - Well connected to major highways–KESAS, ELITE, NKVE and Federal Highway",https://www.propertyguru.com.my/property-listing/project/ferrous-2-for-sale-by-i-p-alam-impian-sdn-bhd-38327595,https://my1-cdn.pgimgs.com/project-listing-project/38327595/PLPHO.230840551.V550/Ferrous-2-Shah-Alam-Malaysia.jpg
BON KIARA,Condominium,Freehold,1317189.76,2081,632.96,3,4,Unfurnished,2023,"Jln Kiara 3, Mont Kiara, Kuala Lumpur",Land Marker Sdn Bhd,"Bon Kiara celebrating the freedom of exceptional lifestyle choices within a green sanctuary of Mediterranean-style unfettered comforts. Sitted on the freehold land in the much sought-after cosmopolitan landscape of Mont Kiara, A rare family-sized spaciousness and multi-functional design, satisfying a modern desire to define your own living experience.Cosmopolitan Living in Mont KiaraA self-sustained and aspirational neighbourhood that attracts local and expatriate denizens well-known for its international cultureLow DensityOnly 410 units spread out in 2 towers, over 4.15acres freehold land, housing just 6 units per floorGreen is the new LUXURYCertified GreenRe Gold rating development, features a number of energy efficient solutions as well as a generous overall green environment that enhance air quality and provide cooling benefitsEV charging isolator for every unitFacilitating the goal of reducing carbon footprint, the isolator is provided at 1 of the 2-4 car parking bays reserved for every householdExclusive shuttle service for residentsOffer easy commutes to key points and important stopovers within the surrounding Mont Kiara neighbourhoodA rare offer of family-sized spaciousness and multi-functional designLuxurious sky homes offer between 2,081sq ft and 3,075sq ft, in a choice of 3-bedroom to 5-bedroom optionsPanoramic and spacious lanai areaCan be repurposed to fit into resident's lifestyle - an extended living area, or private garden, home office, workout area, or many others Additional facilities:- Co-working space- Family lounge- Kid's lounge- Tree Walk",https://www.propertyguru.com.my/property-listing/project/bon-kiara-for-sale-by-land-marker-sdn-bhd-35718658,https://my1-cdn.pgimgs.com/project-listing-project/35718658/PLPHO.209040611.V550/BON-KIARA-Mont-Kiara-Malaysia.jpg
BON KIARA,Condominium,Freehold,1538816.06,2558,601.57,4,5,Unfurnished,2023,"Jln Kiara 3, Mont Kiara, Kuala Lumpur",Land Marker Sdn Bhd,"Bon Kiara celebrating the freedom of exceptional lifestyle choices within a green sanctuary of Mediterranean-style unfettered comforts. Sitted on the freehold land in the much sought-after cosmopolitan landscape of Mont Kiara, A rare family-sized spaciousness and multi-functional design, satisfying a modern desire to define your own living experience.Cosmopolitan Living in Mont KiaraA self-sustained and aspirational neighbourhood that attracts local and expatriate denizens well-known for its international cultureLow DensityOnly 410 units spread out in 2 towers, over 4.15acres freehold land, housing just 6 units per floorGreen is the new LUXURYCertified GreenRe Gold rating development, features a number of energy efficient solutions as well as a generous overall green environment that enhance air quality and provide cooling benefitsEV charging isolator for every unitFacilitating the goal of reducing carbon footprint, the isolator is provided at 1 of the 2-4 car parking bays reserved for every householdExclusive shuttle service for residentsOffer easy commutes to key points and important stopovers within the surrounding Mont Kiara neighbourhoodA rare offer of family-sized spaciousness and multi-functional designLuxurious sky homes offer between 2,081sq ft and 3,075sq ft, in a choice of 3-bedroom to 5-bedroom optionsPanoramic and spacious lanai areaCan be repurposed to fit into resident's lifestyle - an extended living area, or private garden, home office, workout area, or many others Additional facilities:- Co-working space- Family lounge- Kid's lounge- Tree Walk",https://www.propertyguru.com.my/property-listing/project/bon-kiara-for-sale-by-land-marker-sdn-bhd-35718658,https://my1-cdn.pgimgs.com/project-listing-project/35718658/PLPHO.209040611.V550/BON-KIARA-Mont-Kiara-Malaysia.jpg
BON KIARA,Condominium,Freehold,1697219.84,2888,587.68,4,5,Unfurnished,2023,"Jln Kiara 3, Mont Kiara, Kuala Lumpur",Land Marker Sdn Bhd,"Bon Kiara celebrating the freedom of exceptional lifestyle choices within a green sanctuary of Mediterranean-style unfettered comforts. Sitted on the freehold land in the much sought-after cosmopolitan landscape of Mont Kiara, A rare family-sized spaciousness and multi-functional design, satisfying a modern desire to define your own living experience.Cosmopolitan Living in Mont KiaraA self-sustained and aspirational neighbourhood that attracts local and expatriate denizens well-known for its international cultureLow DensityOnly 410 units spread out in 2 towers, over 4.15acres freehold land, housing just 6 units per floorGreen is the new LUXURYCertified GreenRe Gold rating development, features a number of energy efficient solutions as well as a generous overall green environment that enhance air quality and provide cooling benefitsEV charging isolator for every unitFacilitating the goal of reducing carbon footprint, the isolator is provided at 1 of the 2-4 car parking bays reserved for every householdExclusive shuttle service for residentsOffer easy commutes to key points and important stopovers within the surrounding Mont Kiara neighbourhoodA rare offer of family-sized spaciousness and multi-functional designLuxurious sky homes offer between 2,081sq ft and 3,075sq ft, in a choice of 3-bedroom to 5-bedroom optionsPanoramic and spacious lanai areaCan be repurposed to fit into resident's lifestyle - an extended living area, or private garden, home office, workout area, or many others Additional facilities:- Co-working space- Family lounge- Kid's lounge- Tree Walk",https://www.propertyguru.com.my/property-listing/project/bon-kiara-for-sale-by-land-marker-sdn-bhd-35718658,https://my1-cdn.pgimgs.com/project-listing-project/35718658/PLPHO.209040611.V550/BON-KIARA-Mont-Kiara-Malaysia.jpg
BON KIARA,Condominium,Freehold,1806685.50,3075,587.54,5,6,Unfurnished,2023,"Jln Kiara 3, Mont Kiara, Kuala Lumpur",Land Marker Sdn Bhd,"Bon Kiara celebrating the freedom of exceptional lifestyle choices within a green sanctuary of Mediterranean-style unfettered comforts. Sitted on the freehold land in the much sought-after cosmopolitan landscape of Mont Kiara, A rare family-sized spaciousness and multi-functional design, satisfying a modern desire to define your own living experience.Cosmopolitan Living in Mont KiaraA self-sustained and aspirational neighbourhood that attracts local and expatriate denizens well-known for its international cultureLow DensityOnly 410 units spread out in 2 towers, over 4.15acres freehold land, housing just 6 units per floorGreen is the new LUXURYCertified GreenRe Gold rating development, features a number of energy efficient solutions as well as a generous overall green environment that enhance air quality and provide cooling benefitsEV charging isolator for every unitFacilitating the goal of reducing carbon footprint, the isolator is provided at 1 of the 2-4 car parking bays reserved for every householdExclusive shuttle service for residentsOffer easy commutes to key points and important stopovers within the surrounding Mont Kiara neighbourhoodA rare offer of family-sized spaciousness and multi-functional designLuxurious sky homes offer between 2,081sq ft and 3,075sq ft, in a choice of 3-bedroom to 5-bedroom optionsPanoramic and spacious lanai areaCan be repurposed to fit into resident's lifestyle - an extended living area, or private garden, home office, workout area, or many others Additional facilities:- Co-working space- Family lounge- Kid's lounge- Tree Walk",https://www.propertyguru.com.my/property-listing/project/bon-kiara-for-sale-by-land-marker-sdn-bhd-35718658,https://my1-cdn.pgimgs.com/project-listing-project/35718658/PLPHO.209040611.V550/BON-KIARA-Mont-Kiara-Malaysia.jpg
Candella,Cluster House,Freehold,863996.99,1961,440.59,4,4,Unfurnished,2023,"Setia Alamsari, Kajang, Selangor",Setia Alamsari Sdn Bhd,"From the charming phase of the Casa Collection comes another enchanting residential phase at Setia Alamsari, the largest township in Bangi and its known for its sustainability and livability. The 775-acre township is no stranger to those who aspire to live a modern nature-inspired lifestyleCandella nestles in Casablanca Park which allows residents to enjoy outdoor recreation right outside their homes amidst the rich green surroundings.Here is Candella, where community-centric living is enhanced with an urban contemporary style. Coming with enhance essential features of a sustainable home called Setia i-Homes allowing you to enjoy all the comfort and convenience of modern living.- Min. 2.25 kWp system Solar PV- Green Switch designed with purpose to switch off all general lighting switches in just one click.- Digital lockset for main door.",https://www.propertyguru.com.my/property-listing/project/candella-for-sale-by-setia-alamsari-sdn-bhd-38750170,https://my1-cdn.pgimgs.com/project-listing-project/38750170/PLPHO.220018681.V550/Candella-Kajang-Malaysia.jpg
Candella,Cluster House,Freehold,866003.34,1966,440.49,4,4,Unfurnished,2023,"Setia Alamsari, Kajang, Selangor",Setia Alamsari Sdn Bhd,"From the charming phase of the Casa Collection comes another enchanting residential phase at Setia Alamsari, the largest township in Bangi and its known for its sustainability and livability. The 775-acre township is no stranger to those who aspire to live a modern nature-inspired lifestyleCandella nestles in Casablanca Park which allows residents to enjoy outdoor recreation right outside their homes amidst the rich green surroundings.Here is Candella, where community-centric living is enhanced with an urban contemporary style. Coming with enhance essential features of a sustainable home called Setia i-Homes allowing you to enjoy all the comfort and convenience of modern living.- Min. 2.25 kWp system Solar PV- Green Switch designed with purpose to switch off all general lighting switches in just one click.- Digital lockset for main door.",https://www.propertyguru.com.my/property-listing/project/candella-for-sale-by-setia-alamsari-sdn-bhd-38750170,https://my1-cdn.pgimgs.com/project-listing-project/38750170/PLPHO.220018681.V550/Candella-Kajang-Malaysia.jpg
SouthPlace 2 Residences,Service Residence,Freehold,505997.36,583,867.92,1,1,Partially Furnished,2023,"Tropicana Metropark, Subang Jaya, Selangor",Tropicana Metropark Sdn Bhd,"Situated in the sprawling 88-acres freehold development in Tropicana Metropark Subang Jaya, SouthPlace 2 Shoppes & Residences is the latest mixed commercial development comprising service apartment with 2-storey of vibrant commercial retail below.Residents have direct access to retail hotspots and F&B outlets, while also having the convenience of being connected via link bridge to the upcoming SouthPlace Shoppes just next door. Overlooking a 9.2-acre Urban Park, the service apartment offers a variety of unit types for selection. The choices of units ranging from 1 bedroom to 4 bedrooms, with selection of with or without balcony, offering potential home owners various options.Being a strata development, home owners will have access to exclusive facilities, among them are co-working space with private meeting rooms, a cozy reading rooms, games room overlooking the urban park, and also an infinity swimming and wading pool. The main attraction is a sky gym at level 38, with glass curtain wall offering magnificent aerial views of the Urban Park which home owners can enjoy while working out.SouthPlace 2 Shoppes & Residences is also a certified green building under GreenRE, paving the way to a greener development in Subang Jaya.In overall, SouthPlace 2 Shoppes & Residences offers potential home owners an integrated lifestyle within an urban setting, with scenic views and cozy living experience, a balance between live, work and play.",https://www.propertyguru.com.my/property-listing/project/southplace-2-residences-for-sale-by-tropicana-metropark-sdn-bhd-35069647,https://my1-cdn.pgimgs.com/project-listing-project/35069647/PLPHO.209815853.V550/SouthPlace-2-Residences-Subang-Jaya-Malaysia.jpg
SouthPlace 2 Residences,Service Residence,Freehold,588003.34,758,775.73,2,2,Partially Furnished,2023,"Tropicana Metropark, Subang Jaya, Selangor",Tropicana Metropark Sdn Bhd,"Situated in the sprawling 88-acres freehold development in Tropicana Metropark Subang Jaya, SouthPlace 2 Shoppes & Residences is the latest mixed commercial development comprising service apartment with 2-storey of vibrant commercial retail below.Residents have direct access to retail hotspots and F&B outlets, while also having the convenience of being connected via link bridge to the upcoming SouthPlace Shoppes just next door. Overlooking a 9.2-acre Urban Park, the service apartment offers a variety of unit types for selection. The choices of units ranging from 1 bedroom to 4 bedrooms, with selection of with or without balcony, offering potential home owners various options.Being a strata development, home owners will have access to exclusive facilities, among them are co-working space with private meeting rooms, a cozy reading rooms, games room overlooking the urban park, and also an infinity swimming and wading pool. The main attraction is a sky gym at level 38, with glass curtain wall offering magnificent aerial views of the Urban Park which home owners can enjoy while working out.SouthPlace 2 Shoppes & Residences is also a certified green building under GreenRE, paving the way to a greener development in Subang Jaya.In overall, SouthPlace 2 Shoppes & Residences offers potential home owners an integrated lifestyle within an urban setting, with scenic views and cozy living experience, a balance between live, work and play.",https://www.propertyguru.com.my/property-listing/project/southplace-2-residences-for-sale-by-tropicana-metropark-sdn-bhd-35069647,https://my1-cdn.pgimgs.com/project-listing-project/35069647/PLPHO.209815853.V550/SouthPlace-2-Residences-Subang-Jaya-Malaysia.jpg
SouthPlace 2 Residences,Service Residence,Freehold,588003.34,758,775.73,2,2,Partially Furnished,2023,"Tropicana Metropark, Subang Jaya, Selangor",Tropicana Metropark Sdn Bhd,"Situated in the sprawling 88-acres freehold development in Tropicana Metropark Subang Jaya, SouthPlace 2 Shoppes & Residences is the latest mixed commercial development comprising service apartment with 2-storey of vibrant commercial retail below.Residents have direct access to retail hotspots and F&B outlets, while also having the convenience of being connected via link bridge to the upcoming SouthPlace Shoppes just next door. Overlooking a 9.2-acre Urban Park, the service apartment offers a variety of unit types for selection. The choices of units ranging from 1 bedroom to 4 bedrooms, with selection of with or without balcony, offering potential home owners various options.Being a strata development, home owners will have access to exclusive facilities, among them are co-working space with private meeting rooms, a cozy reading rooms, games room overlooking the urban park, and also an infinity swimming and wading pool. The main attraction is a sky gym at level 38, with glass curtain wall offering magnificent aerial views of the Urban Park which home owners can enjoy while working out.SouthPlace 2 Shoppes & Residences is also a certified green building under GreenRE, paving the way to a greener development in Subang Jaya.In overall, SouthPlace 2 Shoppes & Residences offers potential home owners an integrated lifestyle within an urban setting, with scenic views and cozy living experience, a balance between live, work and play.",https://www.propertyguru.com.my/property-listing/project/southplace-2-residences-for-sale-by-tropicana-metropark-sdn-bhd-35069647,https://my1-cdn.pgimgs.com/project-listing-project/35069647/PLPHO.209815853.V550/SouthPlace-2-Residences-Subang-Jaya-Malaysia.jpg
SouthPlace 2 Residences,Service Residence,Freehold,788003.51,973,809.87,3,2,Partially Furnished,2023,"Tropicana Metropark, Subang Jaya, Selangor",Tropicana Metropark Sdn Bhd,"Situated in the sprawling 88-acres freehold development in Tropicana Metropark Subang Jaya, SouthPlace 2 Shoppes & Residences is the latest mixed commercial development comprising service apartment with 2-storey of vibrant commercial retail below.Residents have direct access to retail hotspots and F&B outlets, while also having the convenience of being connected via link bridge to the upcoming SouthPlace Shoppes just next door. Overlooking a 9.2-acre Urban Park, the service apartment offers a variety of unit types for selection. The choices of units ranging from 1 bedroom to 4 bedrooms, with selection of with or without balcony, offering potential home owners various options.Being a strata development, home owners will have access to exclusive facilities, among them are co-working space with private meeting rooms, a cozy reading rooms, games room overlooking the urban park, and also an infinity swimming and wading pool. The main attraction is a sky gym at level 38, with glass curtain wall offering magnificent aerial views of the Urban Park which home owners can enjoy while working out.SouthPlace 2 Shoppes & Residences is also a certified green building under GreenRE, paving the way to a greener development in Subang Jaya.In overall, SouthPlace 2 Shoppes & Residences offers potential home owners an integrated lifestyle within an urban setting, with scenic views and cozy living experience, a balance between live, work and play.",https://www.propertyguru.com.my/property-listing/project/southplace-2-residences-for-sale-by-tropicana-metropark-sdn-bhd-35069647,https://my1-cdn.pgimgs.com/project-listing-project/35069647/PLPHO.209815853.V550/SouthPlace-2-Residences-Subang-Jaya-Malaysia.jpg
