title,status,type,tenure,land_title,price,built_up_size,bedroom,bathroom,car_park,address,description,link
Triara,New Launch,Condominium,Freehold,Residential,1247800.0,1808,4,3,3,"Ara Damansara, Petaling Jaya, Selangor","A freehold condominium launch is in the making at the established township of Ara Damansara.

The rare piece of residential title high rise in this neighbourhood, this low density development spans 5.62 acres with an array of built-ups from 1,216 sf. Mixing lively pursuits with generous living spaces and thoughtful amenity, it is the perfect setting to go about your day. Imbued with a lush nature and light footprint, you will find a unit made to suit your lifestyle. Simply step in and stand out in these homes that can be made by you.

Its wide selection of 3 to 4-bedroom residences come with the flexibility of customisable walls*, convertible living spaces and can even be combined. Just outside your door, multi-gen facilities and community spaces that are made to suit all ages charmingly unfold across 1.87 acres dotted with landscaped greens and biophilic environs. You may want to stay in and never leave home with more than 20 lifestyle amenities including a first-of-its-kind Aqua Pool Ramp, forest nooks, bioswale and diverse community spaces like the co-working garden.

If you must head out, this well-placed and well-connected residences is made better by direct access to three major highways, linked pedestrian networks and two LRT stations. Close to home are international grocers, malls, cafes and eateries, educational and medical institutions. The nearby Subang Airport will get you places across Malaysia.

Make it yours.

*T&C Applies.",https://www.iproperty.com.my/new-property/property/petaling-jaya/ara-damansara-triara/new-6583/
Suasana Ainsdale,Open for Registration,2-sty Terrace/Link House,Freehold,Residential,632888.0,1756,4,3,2,"Bandar Ainsdale, Labu, Negeri Sembilan","Starting at 1,756 sqft, Suasana Ainsdale is both and ideal starter home and investment. The peaceful surroundings complement these contemporary homes to provide you with a sense of belonging. It's where you want to come home to every day to be with the people you love.
Just 5km to Seremban town and with direct access to Kuala Lumpur via the PLUS Highway Bandar Ainsdale Interchange (Exit 217), Suasana Ainsdale is the perfect balance between serenity and convenience sought after  by many in today's lifestyle. In this low-density neighbourhood, a safe and welcoming community is easy to foster. Make it your home today and for generations to come.",https://www.iproperty.com.my/new-property/property/labu/bandar-ainsdale-suasana-ainsdale/new-6524/
Suasana Ainsdale,Open for Registration,2-sty Terrace/Link House,Freehold,Residential,806888.0,1823,4,3,2,"Bandar Ainsdale, Labu, Negeri Sembilan","Starting at 1,756 sqft, Suasana Ainsdale is both and ideal starter home and investment. The peaceful surroundings complement these contemporary homes to provide you with a sense of belonging. It's where you want to come home to every day to be with the people you love.
Just 5km to Seremban town and with direct access to Kuala Lumpur via the PLUS Highway Bandar Ainsdale Interchange (Exit 217), Suasana Ainsdale is the perfect balance between serenity and convenience sought after  by many in today's lifestyle. In this low-density neighbourhood, a safe and welcoming community is easy to foster. Make it your home today and for generations to come.",https://www.iproperty.com.my/new-property/property/labu/bandar-ainsdale-suasana-ainsdale/new-6524/
Suasana Ainsdale,Open for Registration,2-sty Terrace/Link House,Freehold,Residential,971888.0,2002,4,3,2,"Bandar Ainsdale, Labu, Negeri Sembilan","Starting at 1,756 sqft, Suasana Ainsdale is both and ideal starter home and investment. The peaceful surroundings complement these contemporary homes to provide you with a sense of belonging. It's where you want to come home to every day to be with the people you love.
Just 5km to Seremban town and with direct access to Kuala Lumpur via the PLUS Highway Bandar Ainsdale Interchange (Exit 217), Suasana Ainsdale is the perfect balance between serenity and convenience sought after  by many in today's lifestyle. In this low-density neighbourhood, a safe and welcoming community is easy to foster. Make it your home today and for generations to come.",https://www.iproperty.com.my/new-property/property/labu/bandar-ainsdale-suasana-ainsdale/new-6524/
Casira 3,New Launch,2-sty Terrace/Link House,Freehold,Residential,793888.0,1700,4,3,2,"Bandar Bukit Raja, Klang, Selangor","Celebrate Life in Klang's Best Address

Live your dream lifestyle in a lush sanctuary next to a scenic lake in the heart of Bandar Bukit Raja - Klang’s Best Address. At Casira 3, you’ll discover more than just well-crafted linked houses. Here, you’ll be embraced by nature’s serene beauty in an idyllic haven that’s designed to keep you connected to all that you love in life.

Come home to Casira 3, where life is all about celebrating cherished family moments together amidst nature’s splendour each day.",https://www.iproperty.com.my/new-property/property/klang/bandar-bukit-raja-casira-3/new-6578/
Casira 3,New Launch,2-sty Terrace/Link House,Freehold,Residential,1089888.0,2066,4,4,2,"Bandar Bukit Raja, Klang, Selangor","Celebrate Life in Klang's Best Address

Live your dream lifestyle in a lush sanctuary next to a scenic lake in the heart of Bandar Bukit Raja - Klang’s Best Address. At Casira 3, you’ll discover more than just well-crafted linked houses. Here, you’ll be embraced by nature’s serene beauty in an idyllic haven that’s designed to keep you connected to all that you love in life.

Come home to Casira 3, where life is all about celebrating cherished family moments together amidst nature’s splendour each day.",https://www.iproperty.com.my/new-property/property/klang/bandar-bukit-raja-casira-3/new-6578/
Casira 3,New Launch,2-sty Terrace/Link House,Freehold,Residential,1255888.0,2066,4,4,2,"Bandar Bukit Raja, Klang, Selangor","Celebrate Life in Klang's Best Address

Live your dream lifestyle in a lush sanctuary next to a scenic lake in the heart of Bandar Bukit Raja - Klang’s Best Address. At Casira 3, you’ll discover more than just well-crafted linked houses. Here, you’ll be embraced by nature’s serene beauty in an idyllic haven that’s designed to keep you connected to all that you love in life.

Come home to Casira 3, where life is all about celebrating cherished family moments together amidst nature’s splendour each day.",https://www.iproperty.com.my/new-property/property/klang/bandar-bukit-raja-casira-3/new-6578/
Pagoh Special Economic Z,Open for Sale,Industrial Land,Leasehold,Industrial,807087.0,3088,0,0,0,"Bandar Universiti Pagoh, Muar, Johor","Pagoh Special Economic Zone (PSEZ) is strategically located in the Northern Region of Johor that is adjacent to Tangkak, Batu Pahat & Segamat Districts. It is the first development project to catapult Pagoh into a modern and sustainable township centered on knowledge and industry.

PSEZ is surrounded by existing economic activities and industrial ecosystems such as timber and furniture-based industries, food processing, textiles, as well as high value agricultural commodity industries such as livestock and floriculture.

Education Institutions

 * Pagoh Community College - 2.0km
 * Universiti Tun Hussein Onn (UTHM) - 10.6km
 * Universiti Teknologi Malaysia (UTM) - 10.8km
 * Politeknik Tun Syed Nasir - 15.2 km
 * International Islamic University Malaysia (IIUM) - 15.3km",https://www.iproperty.com.my/new-property/property/muar/bandar-universiti-pagoh-pagoh-special-economic-z/new-6486/
Pagoh Special Economic Z,Open for Sale,Industrial Land,Leasehold,Industrial,1032370.0,3923,0,0,0,"Bandar Universiti Pagoh, Muar, Johor","Pagoh Special Economic Zone (PSEZ) is strategically located in the Northern Region of Johor that is adjacent to Tangkak, Batu Pahat & Segamat Districts. It is the first development project to catapult Pagoh into a modern and sustainable township centered on knowledge and industry.

PSEZ is surrounded by existing economic activities and industrial ecosystems such as timber and furniture-based industries, food processing, textiles, as well as high value agricultural commodity industries such as livestock and floriculture.

Education Institutions

 * Pagoh Community College - 2.0km
 * Universiti Tun Hussein Onn (UTHM) - 10.6km
 * Universiti Teknologi Malaysia (UTM) - 10.8km
 * Politeknik Tun Syed Nasir - 15.2 km
 * International Islamic University Malaysia (IIUM) - 15.3km",https://www.iproperty.com.my/new-property/property/muar/bandar-universiti-pagoh-pagoh-special-economic-z/new-6486/
Pagoh Special Economic Z,Open for Sale,Industrial Land,Leasehold,Industrial,1837454.0,7217,0,0,0,"Bandar Universiti Pagoh, Muar, Johor","Pagoh Special Economic Zone (PSEZ) is strategically located in the Northern Region of Johor that is adjacent to Tangkak, Batu Pahat & Segamat Districts. It is the first development project to catapult Pagoh into a modern and sustainable township centered on knowledge and industry.

PSEZ is surrounded by existing economic activities and industrial ecosystems such as timber and furniture-based industries, food processing, textiles, as well as high value agricultural commodity industries such as livestock and floriculture.

Education Institutions

 * Pagoh Community College - 2.0km
 * Universiti Tun Hussein Onn (UTHM) - 10.6km
 * Universiti Teknologi Malaysia (UTM) - 10.8km
 * Politeknik Tun Syed Nasir - 15.2 km
 * International Islamic University Malaysia (IIUM) - 15.3km",https://www.iproperty.com.my/new-property/property/muar/bandar-universiti-pagoh-pagoh-special-economic-z/new-6486/
Elmina Green 7,Open for Registration,2-sty Terrace/Link House,Freehold,Residential,1043888.0,2363,4,4,2,"City of Elmina, Shah Alam, Selangor","The Precinct's First Superlink has landed

Experience unprecedented comfort with Elmina Green Seven, City of Elmina, Shah Alam. The precinct's first freehold superlink homes which makes all the difference for a spacious and homely living experience. The curation of the first Signature Series began in 2021 with a simple aim — to define the standards of a perfect modern home. With Elmina Green Seven, we continue our pursuit to curate the finest family homes while pioneering the industry with new benchmarks for any home of excellent quality.

Elmina Green Seven is designed with a generous lot size of 24'x80' and 12ft backyard garden, you may now have the freedom to house multiple generations under one roof without compromising comfort and happiness.

Elmina Green Seven offers 2 unit types to cater to different lifestyle needs:

Type 3 - Maximum Flexibility
• 4 bedrooms, 4 en-suite bathrooms
• Built up area from 2,363 sq ft
• 12ft backyard for various outdoor activities or for future expansion

Type 4 - Maximum Practicality
• 4+1 bedrooms, 5 en-suite bathrooms
• Built up area from 2,477 sq ft
• Extra room to accommodate larger families",https://www.iproperty.com.my/new-property/property/shah-alam/city-of-elmina-elmina-green-7/new-6536/
Elmina Green 7,Open for Registration,2-sty Terrace/Link House,Freehold,Residential,1054888.0,2477,5,5,2,"City of Elmina, Shah Alam, Selangor","The Precinct's First Superlink has landed

Experience unprecedented comfort with Elmina Green Seven, City of Elmina, Shah Alam. The precinct's first freehold superlink homes which makes all the difference for a spacious and homely living experience. The curation of the first Signature Series began in 2021 with a simple aim — to define the standards of a perfect modern home. With Elmina Green Seven, we continue our pursuit to curate the finest family homes while pioneering the industry with new benchmarks for any home of excellent quality.

Elmina Green Seven is designed with a generous lot size of 24'x80' and 12ft backyard garden, you may now have the freedom to house multiple generations under one roof without compromising comfort and happiness.

Elmina Green Seven offers 2 unit types to cater to different lifestyle needs:

Type 3 - Maximum Flexibility
• 4 bedrooms, 4 en-suite bathrooms
• Built up area from 2,363 sq ft
• 12ft backyard for various outdoor activities or for future expansion

Type 4 - Maximum Practicality
• 4+1 bedrooms, 5 en-suite bathrooms
• Built up area from 2,477 sq ft
• Extra room to accommodate larger families",https://www.iproperty.com.my/new-property/property/shah-alam/city-of-elmina-elmina-green-7/new-6536/
Elmina Green 7,Open for Registration,2-sty Terrace/Link House,Freehold,Residential,1302888.0,2575,4,4,2,"City of Elmina, Shah Alam, Selangor","The Precinct's First Superlink has landed

Experience unprecedented comfort with Elmina Green Seven, City of Elmina, Shah Alam. The precinct's first freehold superlink homes which makes all the difference for a spacious and homely living experience. The curation of the first Signature Series began in 2021 with a simple aim — to define the standards of a perfect modern home. With Elmina Green Seven, we continue our pursuit to curate the finest family homes while pioneering the industry with new benchmarks for any home of excellent quality.

Elmina Green Seven is designed with a generous lot size of 24'x80' and 12ft backyard garden, you may now have the freedom to house multiple generations under one roof without compromising comfort and happiness.

Elmina Green Seven offers 2 unit types to cater to different lifestyle needs:

Type 3 - Maximum Flexibility
• 4 bedrooms, 4 en-suite bathrooms
• Built up area from 2,363 sq ft
• 12ft backyard for various outdoor activities or for future expansion

Type 4 - Maximum Practicality
• 4+1 bedrooms, 5 en-suite bathrooms
• Built up area from 2,477 sq ft
• Extra room to accommodate larger families",https://www.iproperty.com.my/new-property/property/shah-alam/city-of-elmina-elmina-green-7/new-6536/
Ilham Residence 3,New Launch,2-sty Terrace/Link House,Freehold,Residential,903888.0,1964,4,4,2,"City of Elmina, Shah Alam, Selangor","Homes that inspire a greater passion in living

Ilham Residence 3 is the highly anticipated final phase of landed residences to be launched in the mature neighbourhood of Elmina East in the City of Elmina, Shah Alam. Located in an exclusive gated and guarded precinct, Ilham Residences 3 brings a fresh new living concept that is inspired by nature. Featuring 241 units of modern 2-storey lifestyles homes, Ilham Residence 3 is designed for young and mature families to flourish and thrive for generations to come.

Ilham Residence 3 offer two products types to fit different lifestyle needs:

20' x 70' Lifestyle Homes
- 4 bedrooms, 4 en-suite bathrooms
- Built up area from 1,944 sq ft
- Dedicated wet and dry kitchens
- Enclosed inner courtyard for natural light & indoor garden
- Family area on the first floor",https://www.iproperty.com.my/new-property/property/shah-alam/city-of-elmina-ilham-residence-3/new-6512/
Ilham Residence 3,New Launch,2-sty Terrace/Link House,Freehold,Residential,903888.0,1964,4,4,2,"City of Elmina, Shah Alam, Selangor","Homes that inspire a greater passion in living

Ilham Residence 3 is the highly anticipated final phase of landed residences to be launched in the mature neighbourhood of Elmina East in the City of Elmina, Shah Alam. Located in an exclusive gated and guarded precinct, Ilham Residences 3 brings a fresh new living concept that is inspired by nature. Featuring 241 units of modern 2-storey lifestyles homes, Ilham Residence 3 is designed for young and mature families to flourish and thrive for generations to come.

Ilham Residence 3 offer two products types to fit different lifestyle needs:

20' x 70' Lifestyle Homes
- 4 bedrooms, 4 en-suite bathrooms
- Built up area from 1,944 sq ft
- Dedicated wet and dry kitchens
- Enclosed inner courtyard for natural light & indoor garden
- Family area on the first floor",https://www.iproperty.com.my/new-property/property/shah-alam/city-of-elmina-ilham-residence-3/new-6512/
Ilham Residence 3,New Launch,2-sty Terrace/Link House,Freehold,Residential,948888.0,1944,4,4,2,"City of Elmina, Shah Alam, Selangor","Homes that inspire a greater passion in living

Ilham Residence 3 is the highly anticipated final phase of landed residences to be launched in the mature neighbourhood of Elmina East in the City of Elmina, Shah Alam. Located in an exclusive gated and guarded precinct, Ilham Residences 3 brings a fresh new living concept that is inspired by nature. Featuring 241 units of modern 2-storey lifestyles homes, Ilham Residence 3 is designed for young and mature families to flourish and thrive for generations to come.

Ilham Residence 3 offer two products types to fit different lifestyle needs:

20' x 70' Lifestyle Homes
- 4 bedrooms, 4 en-suite bathrooms
- Built up area from 1,944 sq ft
- Dedicated wet and dry kitchens
- Enclosed inner courtyard for natural light & indoor garden
- Family area on the first floor",https://www.iproperty.com.my/new-property/property/shah-alam/city-of-elmina-ilham-residence-3/new-6512/
The Eighth,Open for Registration,Semi-detached House,Freehold,Residential,1670888.0,3034,4,5,0,"City of Elmina, Shah Alam, Selangor","A Majestic Chapter Begins

Nestled on the highest ground in Elmina Green, The Eighth is a refined collection of 168 exquisitely crafted twin villas, enveloped by three luscious neighborhood parks, and located just a short drive from the conveniences of the Elmina City Centre.

The first phase of semi-D villas in Elmina West, and the one and only in Elmina Green Precinct, the Eighth is thoughtfully designed for those who appreciates living in an inspired and private space.

Limited to only 168 units, there are 3 lifestyle-driven layouts to suit your personal needs.

Type A - The Minimalist
- 40' x 80'
- 4+1 beds, 5 baths
- 3,034 sq ft
- Double volume dining and dry kitchen
- Bright, airy and spacious interiors

Type B - The Connoisseur
- 40' x 80'
- 4+1 beds, 5 baths
- 3,069 sq ft
- Ultra spacious master bathroom and walk-in wardrobe
- Flexible roof terrace that can be converted into a rooftop garden

Type C - The Classic
- 40' x 80'
- 4+1 beds, 5 baths
- 3,239 sq ft
- Spacious family area on the first floor
- Seamless open plan living, dining and kitchen on the ground floor",https://www.iproperty.com.my/new-property/property/shah-alam/city-of-elmina-the-eighth/new-6513/
The Eighth,Open for Registration,Semi-detached House,Freehold,Residential,1716888.0,3069,4,5,0,"City of Elmina, Shah Alam, Selangor","A Majestic Chapter Begins

Nestled on the highest ground in Elmina Green, The Eighth is a refined collection of 168 exquisitely crafted twin villas, enveloped by three luscious neighborhood parks, and located just a short drive from the conveniences of the Elmina City Centre.

The first phase of semi-D villas in Elmina West, and the one and only in Elmina Green Precinct, the Eighth is thoughtfully designed for those who appreciates living in an inspired and private space.

Limited to only 168 units, there are 3 lifestyle-driven layouts to suit your personal needs.

Type A - The Minimalist
- 40' x 80'
- 4+1 beds, 5 baths
- 3,034 sq ft
- Double volume dining and dry kitchen
- Bright, airy and spacious interiors

Type B - The Connoisseur
- 40' x 80'
- 4+1 beds, 5 baths
- 3,069 sq ft
- Ultra spacious master bathroom and walk-in wardrobe
- Flexible roof terrace that can be converted into a rooftop garden

Type C - The Classic
- 40' x 80'
- 4+1 beds, 5 baths
- 3,239 sq ft
- Spacious family area on the first floor
- Seamless open plan living, dining and kitchen on the ground floor",https://www.iproperty.com.my/new-property/property/shah-alam/city-of-elmina-the-eighth/new-6513/
